Centroid X,Centroid Y,Transitions,Aspect Ratio
2704,198,55,5.9
1618,274,77,4.530120481927711
1711,240,19,5.301204819277109
1547,341,116,6.163934426229508
2079,344,45,7.213114754098361
2174,257,65,5.754098360655738
2648,256,66,5.704918032786885
2127,306,49,4.228915662650603
2611,329,130,4.192771084337349
137,403,122,4.186440677966102
325,409,57,4.0
149,449,148,2.185840707964602
348,454,260,2.088495575221239
510,402,45,4.348484848484849
877,399,76,7.924242424242424
517,454,27,2.707547169811321
890,490,114,4.933962264150943
427,780,12,1.72265625
462,737,45,0.1640625
420,830,43,6.391304347826087
462,847,41,0.6086956521739131
564,643,97,0.9787234042553191
712,610,182,4.76595744680851
547,776,178,0.75
643,709,59,3.652173913043478
1516,389,161,10.142857142857142
1893,401,8,9.457142857142857
1522,419,45,15.434782608695652
1811,419,86,14.391304347826088
2082,391,55,10.882352941176471
2540,391,62,13.5
2160,418,99,15.416666666666666
2515,418,112,19.125
1450,445,40,10.642857142857142
1739,443,179,13.857142857142858
1432,479,256,0.7250608272506083
1819,467,144,0.9440389294403893
2149,438,96,20.875
2520,437,107,30.9375
2112,452,188,0.789598108747045
2432,466,193,1.1702127659574468
356,83,71,3.784313725490196
442,61,101,2.7254901960784315
280,137,95,5.361111111111111
433,139,51,3.861111111111111
1142,103,36,4.278260869565218
1200,77,111,1.5478260869565217
1113,150,72,8.338983050847459
1171,130,38,3.016949152542373
251,218,108,4.914285714285715
399,198,71,4.571428571428571
167,274,98,5.134328358208955
637,281,22,4.776119402985074
700,202,41,4.8545454545454545
1062,195,91,7.327272727272727
672,240,24,3.2560975609756095
1013,273,69,4.914634146341464
1673,105,16,3.1171171171171173
1741,60,137,3.3513513513513513
1623,159,74,3.9770114942528734
1684,114,11,4.275862068965517
2322,99,125,2.4748201438848922
2807,132,24,3.4532374100719423
2242,168,67,5.830508474576271
2771,168,77,8.135593220338983
1503,240,59,3.08955223880597
1578,224,70,7.626865671641791
1440,293,103,4.5
1648,295,42,11.108695652173912
2179,226,80,5.948275862068965
2703,227,60,8.258620689655173
2130,284,65,6.2727272727272725
2726,283,89,8.709090909090909
161,343,116,5.033898305084746
391,349,78,4.6440677966101696
171,392,184,3.09375
422,387,272,2.8541666666666665
610,334,73,6.166666666666667
1103,346,50,6.55
926,447,16,3.8947368421052633
1095,396,129,4.136842105263158
560,691,0,2.4
567,685,0,0.029787234042553193
560,710,8,10.444444444444445
567,717,6,0.12962962962962962
670,575,88,1.0476190476190477
831,529,255,4.142857142857143
627,695,219,1.0845070422535212
763,648,85,4.288732394366197
1551,321,68,22.31578947368421
1953,321,84,18.894736842105264
1574,338,90,24.941176470588236
1916,337,166,21.11764705882353
2222,325,50,11.521739130434783
2540,326,24,21.47826086956522
2244,340,71,20.384615384615383
2546,340,66,38.0
1519,353,44,23.0
1829,352,159,37.23076923076923
1485,371,151,0.7569620253164557
1903,365,58,1.2253164556962026
2316,355,262,18.52173913043478
2638,358,62,14.478260869565217
2487,390,79,1.1064935064935064
2690,383,224,0.8649350649350649
361,61,66,5.0
447,41,103,3.8205128205128207
283,110,104,5.82089552238806
439,112,47,4.447761194029851
797,83,49,4.09375
1241,64,190,2.34375
758,119,57,8.020408163265307
1175,120,129,4.591836734693878
